diyogon 32879 Sun Aug 28 17:19:58 2016

Avatar 0:(0,0) Moving east.
0:(10,1) 1:(29,3) 2:(3,21) 3:(26,21) Avatar 2:(3,21) Moving south.
0:(10,1) 1:(29,3) 2:(3,22) 3:(26,21) Avatar 3:(26,21) Moving north.
0:(10,1) 1:(29,3) 2:(3,22) 3:(26,21) Avatar 0:(10,1) Moving north.
0:(10,1) 1:(29,3) 2:(3,22) 3:(26,21) Avatar 1:(29,3) Moving south.
0:(10,1) 1:(29,4) 2:(3,22) 3:(26,21) Avatar 2:(3,22) Moving east.
0:(10,1) 1:(29,4) 2:(4,22) 3:(26,21) Avatar 3:(26,21) Moving south.
0:(10,1) 1:(29,4) 2:(4,22) 3:(26,21) Avatar 0:(10,1) Moving east.
0:(11,1) 1:(29,4) 2:(4,22) 3:(26,21) Avatar 1:(29,4) Moving south.
0:(11,1) 1:(29,5) 2:(4,22) 3:(26,21) Avatar 2:(4,22) Moving north.
0:(11,1) 1:(29,5) 2:(4,22) 3:(26,21) Avatar 3:(26,21) Moving west.
0:(11,1) 1:(29,5) 2:(4,22) 3:(25,21) Avatar 0:(11,1) Moving north.
0:(11,1) 1:(29,5) 2:(4,22) 3:(25,21) Avatar 1:(29,5) Moving south.
0:(11,1) 1:(29,6) 2:(4,22) 3:(25,21) Avatar 2:(4,22) Moving east.
0:(11,1) 1:(29,6) 2:(5,22) 3:(25,21) Avatar 3:(25,21) Moving north.
0:(11,1) 1:(29,6) 2:(5,22) 3:(25,21) Avatar 0:(11,1) Moving east.
0:(11,1) 1:(29,6) 2:(5,22) 3:(25,21) Avatar 1:(29,6) Moving south.
0:(11,1) 1:(29,7) 2:(5,22) 3:(25,21) Avatar 2:(5,22) Moving north.
0:(11,1) 1:(29,7) 2:(5,22) 3:(25,21) Avatar 3:(25,21) Moving south.
0:(11,1) 1:(29,7) 2:(5,22) 3:(25,22) Avatar 0:(11,1) Moving south.
0:(11,2) 1:(29,7) 2:(5,22) 3:(25,22) Avatar 1:(29,7) Moving south.
0:(11,2) 1:(29,8) 2:(5,22) 3:(25,22) Avatar 2:(5,22) Moving east.
0:(11,2) 1:(29,8) 2:(6,22) 3:(25,22) Avatar 3:(25,22) Moving east.
0:(11,2) 1:(29,8) 2:(6,22) 3:(25,22) Avatar 0:(11,2) Moving east.
0:(11,2) 1:(29,8) 2:(6,22) 3:(25,22) Avatar 1:(29,8) Moving south.
0:(11,2) 1:(29,9) 2:(6,22) 3:(25,22) Avatar 2:(6,22) Moving north.
0:(11,2) 1:(29,9) 2:(6,21) 3:(25,22) Avatar 3:(25,22) Moving south.
0:(11,2) 1:(29,9) 2:(6,21) 3:(25,22) Avatar 0:(11,2) Moving south.
